ward_id,mpi_score,risk_level,model_prob,model_contribution,rainfall_contribution,historical_contribution,infrastructure_contribution,vulnerability_contribution,current_rain_mm,forecast_rain_mm,hist_flood_count,drain_density,elevation_m,yamuna_distance_km,building_density,road_density,urbanization_index,flood_vuln_index
078S,18.3,Low,0.022,0.9,0,0.0,11.3,6.1,0,0,0.0,0.73,212.7,0.0,0,0,0,0
046N,18.3,Low,0.022,0.9,0,0.0,13.2,4.2,0,0,0.0,0.0,215.2,0.0,0,0,0,0
078N,18.3,Low,0.019,0.8,0,0.0,12.9,4.6,0,0,0.0,0.37,218.1,0.0,0,0,0,0
029S,18.2,Low,0.022,0.9,0,0.0,12.2,5.1,0,0,0.0,0.0,214.6,0.0,0,0,0,0
026N,18.2,Low,0.022,0.9,0,0.0,11.9,5.4,0,0,0.0,0.62,216.5,0.0,0,0,0,0
050N,18.0,Low,0.019,0.8,0,0.0,12.3,5.0,0,0,0.0,0.47,218.0,0.0,0,0,0,0
084S,18.0,Low,0.022,0.9,0,0.0,11.4,5.7,0,0,0.0,0.34,212.3,0.0,0,0,0,0
097N,17.7,Low,0.022,0.9,0,0.0,12.2,4.6,0,0,0.0,0.0,215.6,0.0,0,0,0,0
100N,17.7,Low,0.019,0.8,0,0.0,12.5,4.5,0,0,0.0,0.0,218.8,0.0,0,0,0,0
079N,17.7,Low,0.022,0.9,0,0.0,11.0,5.8,0,0,0.0,0.0,216.3,0.0,0,0,0,0
030S,17.7,Low,0.022,0.9,0,0.0,12.3,4.5,0,0,0.0,0.65,212.1,0.0,0,0,0,0
067S,17.4,Low,0.019,0.8,0,0.0,10.7,5.9,0,0,0.0,1.08,213.6,0.0,0,0,0,0
073N,17.1,Low,0.022,0.9,0,0.0,12.8,3.5,0,0,0.0,0.0,215.1,0.0,0,0,0,0
050S,16.3,Low,0.022,0.9,0,0.0,11.5,3.9,0,0,0.0,1.21,216.3,0.0,0,0,0,0
019S,16.1,Low,0.025,1.0,0,0.0,11.4,3.7,0,0,0.0,0.81,215.2,0.0,0,0,0,0
015N,16.1,Low,0.018,0.7,0,0.0,11.6,3.8,0,0,0.0,0.42,219.3,0.0,0,0,0,0
062S,15.4,Low,0.022,0.9,0,0.0,9.5,5.0,0,0,0.0,1.23,214.0,0.0,0,0,0,0
006N,15.2,Low,0.019,0.8,0,0.0,11.4,3.0,0,0,0.0,0.32,219.4,0.0,0,0,0,0
040N,15.2,Low,0.018,0.7,0,0.0,10.2,4.3,0,0,0.0,1.83,217.8,0.0,0,0,0,0
051N,14.4,Low,0.022,0.9,0,0.0,11.2,2.3,0,0,0.0,0.0,219.7,0.0,0,0,0,0
062N,14.1,Low,0.018,0.7,0,0.0,11.3,2.0,0,0,0.0,1.19,220.0,0.0,0,0,0,0
042N,12.4,Low,0.019,0.8,0,0.0,9.5,2.0,0,0,0.0,1.46,219.2,0.0,0,0,0,0
